DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 0.00 0 0.037 0.244 1.251 0.023 0.026 -0.063 10.175 4.073 20.478
1 0.01 1 0.066 0.260 1.237 0.049 0.028 -0.025 2.600 0.132 3.781
1 0.02 2 0.098 0.279 1.233 0.056 0.034 -0.006 0.677 0.674 1.934
1 0.03 3 0.128 0.290 1.224 0.052 0.019 -0.016 -0.372 -1.544 -1.010
1 0.04 4 0.174 0.309 1.383 0.081 0.033 0.277 2.822 1.412 29.331
1 0.05 5 0.198 0.311 1.404 0.042 0.003 0.037 -3.840 -3.036 -24.028
1 0.06 6 0.238 0.309 1.321 0.070 -0.003 -0.144 2.796 -0.538 -18.129
1 0.07 7 0.254 0.310 1.331 0.027 0.000 0.018 -4.278 0.281 16.201
1 0.08 8 0.274 0.313 1.361 0.035 0.006 0.052 0.741 0.621 3.437
1 0.09 9 0.289 0.310 1.368 0.027 -0.006 0.012 -0.806 -1.260 -3.983
1 0.10 10 0.309 0.307 1.354 0.036 -0.005 -0.025 0.897 0.100 -3.698
1 0.11 11 0.336 0.323 1.431 0.046 0.028 0.135 1.062 3.284 16.028
1 0.12 12 0.364 0.323 1.405 0.049 0.001 -0.045 0.235 -2.665 -18.079
1 0.13 13 0.394 0.290 1.274 0.052 -0.058 -0.228 0.385 -5.869 -18.309
1 0.14 14 0.411 0.279 1.251 0.030 -0.020 -0.040 -2.244 3.754 18.811
1 0.15 15 0.419 0.270 1.188 0.015 -0.015 -0.110 -1.525 0.508 -6.955
1 0.16 16 0.435 0.267 1.120 0.027 -0.006 -0.120 1.238 0.913 -1.001
1 0.17 17 0.447 0.264 1.046 0.021 -0.004 -0.129 -0.650 0.193 -0.857
1 0.18 18 0.458 0.256 0.975 0.020 -0.014 -0.123 -0.054 -0.980 0.505
1 0.19 19 0.482 0.253 0.819 0.042 -0.006 -0.272 2.181 0.746 -14.904
1 0.20 20 0.475 0.247 0.733 -0.012 -0.009 -0.150 -5.410 -0.303 12.277
1 0.21 21 0.481 0.247 0.660 0.011 -0.001 -0.128 2.287 0.876 2.183
1 0.22 22 0.490 0.239 0.569 0.016 -0.014 -0.159 0.554 -1.347 -3.148
1 0.23 23 0.497 0.240 0.479 0.011 0.003 -0.156 -0.485 1.659 0.294
1 0.24 24 0.508 0.240 0.411 0.020 -0.000 -0.119 0.842 -0.266 3.754
1 0.25 25 0.511 0.237 0.357 0.005 -0.007 -0.094 -1.460 -0.658 2.512
1 0.26 26 0.530 0.221 0.282 0.033 -0.027 -0.131 2.748 -2.050 -3.700
1 0.27 27 0.536 0.214 0.286 0.010 -0.013 0.006 -2.294 1.434 13.671
1 0.28 28 0.532 0.211 0.344 -0.006 -0.004 0.102 -1.587 0.933 9.575
